"IP","Port","State"
"192.168.31.237","",""
"192.168.31.237","",""
"192.168.31.237","",""
"192.168.31.237","",""
"192.168.31.237","135","open"
"192.168.31.237","135","open"
"192.168.31.237","135","open"
"192.168.31.237","137","filtered"
"192.168.31.237","139","open"
"192.168.31.237","139","open"
"192.168.31.237","139","open"
"192.168.31.237","20271","open"
"192.168.31.237","21022","open"
"192.168.31.237","3306","open"
"192.168.31.237","3306","open"
"192.168.31.237","3306","open"
"192.168.31.237","33060","open"
"192.168.31.237","445","open"
"192.168.31.237","445","open"
"192.168.31.237","445","open"
"192.168.31.237","49664","open"
"192.168.31.237","49665","open"
"192.168.31.237","49666","open"
"192.168.31.237","49667","open"
"192.168.31.237","49668","open"
"192.168.31.237","49681","open"
"192.168.31.237","5040","open"
"192.168.31.237","57621","open"
"192.168.31.237","7070","open"
"192.168.31.237","7070","open"
"192.168.31.237","7070","open"
"45.33.32.156","",""
"45.33.32.156","135","filtered"
"45.33.32.156","139","filtered"
"45.33.32.156","22","open"
"45.33.32.156","25","filtered"
"45.33.32.156","31337","open"
"45.33.32.156","445","filtered"
"45.33.32.156","80","open"
"45.33.32.156","9929","open"
